127.0.0.1 - - [17/Dec/2022:22:57:06 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/ HTTP/1.1" 200 22282
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/css/style.css HTTP/1.1" 200 67058
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/css/bootstrap.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/js/jquery.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/js/nav.js HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/banner5.jpg HTTP/1.1" 200 166202
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/banner6.jpg HTTP/1.1" 200 132147
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/banner3.jpg HTTP/1.1" 200 358890
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/logonen.png HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/oppof9.png HTTP/1.1" 200 48419
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/banner4.jpg HTTP/1.1" 200 36450
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/aokhoat.jpg HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/ncd1.jpg HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/tiviLG.jpg HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/Dell.png HTTP/1.1" 200 44554
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/20biet.jpg HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/ap.png HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/logo_chanel.png HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/tainghe.jpg HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/balo.jpg HTTP/1.1" 200 8834
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/ap2.png HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/ap1.png HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/ap3.png HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/home.png HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/logo_redbull.jpg HTTP/1.1" 200 33826
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/logo_gucci.jpg HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/img-sprite.png HTTP/1.1" 200 10250
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/back2.png HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/logo_cocacola.jpg HTTP/1.1" 200 21711
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/back1.png HTTP/1.1" 200 25852
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:08 +0700] "GET /DemoDisplaynew/images/line.png HTTP/1.1" 200 2878
